	20
      Alternaria_alternata_partitivirus_1_APT70073 100.00000 
            Barley_yellow_mosaic_virus_sp|Q9YJW3.1 22.17742 100.00000 
                         Cardiovirus_A_sp|Q66765.1 16.40000 17.73399 100.00000 
                   Cowpea_mosaic_virus_sp|P03600.1 15.58935 17.96690 24.82100 100.00000 
                    Feline_calicivirus_sp|Q66914.1 21.34387 20.28302 19.75904 21.01770 100.00000 
            Foot-and-mouth_disease_virus_sp|Q9DLK1 19.92032 18.56436 43.60731 22.19570 19.66427 100.00000 
                         Hepatovirus_A_sp|P08617.1 16.73152 17.85714 24.63054 24.43439 20.74592 24.93827 100.00000 
Macrophomina_phaseolina_single-stranded_RNA_virus_1_ALD89094 14.61988 25.00000 19.65318 21.11111 20.90395 20.93023 20.80925 100.00000 
                         Norwalk_virus_sp|Q83883.1 18.43137 16.94511 21.92771 21.07623 27.82609 24.94005 19.01408 22.85714 100.00000 
            Parsnip_yellow_fleck_virus_sp|Q05057.1 16.66667 18.93764 20.42254 30.47035 19.04762 21.91142 21.14537 19.10112 20.65934 100.00000 
Penicillium_aurantiogriseum_partiti-like_virus_YP_009182157 29.31034 20.09569 20.19231 17.64706 19.81132 17.70335 20.09346 17.36527 17.37089 16.74208 100.00000 
                        Potato_virus_Y_sp|P18247.2 21.95122 32.43848 17.00000 15.95238 17.10214 16.20948 19.27711 21.22905 16.06715 17.48252 18.18182 100.00000 
    Vesicular_exanthema_of_swine_virus_sp|Q9DUN3.1 19.60784 18.35294 19.23077 21.36564 63.65546 19.61722 19.25754 20.33898 26.24729 21.12069 20.65728 17.49409 100.00000 
                                      ds2016-57_10 91.03774 23.69942 13.87283 16.66667 22.03390 20.57143 17.41573 15.94203 17.51412 15.46961 28.94737 22.54335 20.67039 100.00000 
                                       ds2016-57_3 15.42857 22.77778 20.90395 19.02174 17.67956 20.45455 17.51412 78.01047 23.46369 15.38462 15.78947 19.23077 17.12707 16.05839 100.00000 
                                      ds2016-58_15 90.09434 23.69942 13.87283 16.11111 22.03390 20.57143 17.41573 15.94203 17.51412 15.46961 28.94737 21.96532 20.11173 99.05660 16.05839 100.00000 
                                      ds2016-58_20 28.04878 18.95425 22.14765 19.35484 18.83117 17.21854 19.60784 16.77852 20.26144 18.70968 62.50000 20.12987 18.70968 26.31579 18.79195 26.31579 100.00000 
                                     lcl|consensus 21.40078 34.96503 38.17330 37.66234 42.73319 40.65421 37.04545 26.55367 36.18421 36.51805 23.25581 29.97658 42.20779 20.78652 25.41436 20.22472 20.12987 100.00000 
                                  unknown_pdb|1KHW 16.92913 17.33967 20.28986 19.95565 35.39446 16.86747 19.30233 19.77401 25.82057 18.69565 22.06573 17.94258 35.66879 16.29213 17.12707 16.29213 17.41935 38.77996 100.00000 
                                  unknown_pdb|4A8O 14.88550 16.42857 14.00491 13.12910 12.52847 15.73850 14.25234 13.60947 15.97222 14.31624 12.56039 14.45783 14.09091 15.46961 14.45087 15.46961 11.88811 25.17007 12.70208 100.00000
