	6
       Apple_chlorotic_leaf_spot_virus_sp|P27737.1 100.00000 
             Apple_stem_grooving_virus_sp|P36309.1 31.49171 100.00000 
                        Grapevine_virus_A_AHC13414 28.65169 32.79570 100.00000 
                     Grapevine_virus_A_sp|Q67707.1 29.18919 34.75936 84.94624 100.00000 
                                      ds2016-55_41 25.83333 25.56391 98.50746 81.25000 100.00000 
                                     lcl|consensus 84.49198 47.08995 43.54839 47.15026 38.28125 100.00000
